,Sample_3266.CB.1,Sample_3266.CB.10,Sample_3266.CB.102,Sample_3266.CB.103,Sample_3266.CB.104,Sample_3266.CB.106,Sample_3266.CB.107,Sample_3266.CB.108,Sample_3266.CB.109,Sample_3266.CB.110,Sample_3266.CB.12,Sample_3266.CB.146,Sample_3266.CB.15,Sample_3266.CB.18,Sample_3266.CB.180,Sample_3266.CB.182,Sample_3266.CB.183,Sample_3266.CB.189,Sample_3266.CB.19,Sample_3266.CB.20,Sample_3266.CB.206,Sample_3266.CB.207
ST7,1.440840221,0.572831856,0.256315313,0.270283496,0.402887298,1.556181252,0.569848012,-0.614094687,0.493347221,0.857687273,-0.140785713,2.090623627,1.841841292,-2.407749345,1.76565612,1.57377878,2.728932933,2.159476511,2.869727756,0.997785695,1.037443529,0.20580067
CDC27,5.63695383,6.169914798,4.618152129,4.604751887,5.490796725,5.062739543,6.016154,5.653826941,6.753343098,5.020866398,3.354790469,5.966150052,6.444589732,4.456684451,5.876962762,6.630341416,7.228007256,6.625346404,7.659847341,6.193595531,5.530104631,6.087205089
SLC4A1,1.644168381,1.916063464,0.964852499,2.487760427,1.838656239,2.019405216,0.282749901,0.378600513,0.773934521,3.306063703,1.421634219,2.707662834,3.455876717,0.025210062,2.514770797,3.557170777,2.212141934,5.237001116,3.036699441,2.14439553,2.102627698,2.086895265
CALCR,5.167435819,5.510005019,3.983571696,3.670214103,6.763953787,3.35201483,4.146651989,3.860492123,4.591319808,5.240534016,4.839154538,5.577485183,5.416673112,3.919219367,4.626054131,6.029571422,7.63902596,4.257580885,7.266253744,5.031044315,7.473962622,4.390864269
HCCS,3.286669291,4.327277694,1.693179174,2.014102761,4.001703808,3.256373785,3.028293173,3.612195859,4.013716195,2.882255994,2.055001352,4.323554408,3.544256338,2.782865515,4.561637402,5.129181022,3.517102204,3.625197003,5.842251275,3.656210358,2.530643051,3.903428116
DVL2,-2.920616238,-1.822469425,-2.779308597,-3.385068333,0.208071121,-3.166927542,-2.093117001,-2.11416829,-0.344901709,-2.47529601,-2.759695546,-1.368807992,-2.689081369,-2.528043579,-2.262059258,0.134199096,-2.225263378,-3.442087957,0.275887104,-0.630898183,-5.857374234,-2.39754036
PRSS22,5.67059441,6.335865846,4.72053729,5.269567696,5.881177944,5.663913851,5.616213027,5.473582443,6.303755467,5.593688913,5.218402,7.065685725,6.729887351,5.646882104,7.037701411,6.677812236,7.447044092,5.823917694,7.721959493,6.753603325,5.935822625,5.23461598
UPF1,-1.04614712,-1.591143879,-0.853309178,-2.247564809,-3.359613388,-2.396409388,-1.627453428,-0.501984321,-1.616706324,-0.683882632,-0.923194278,0.619510203,-0.54772552,-1.436895691,-2.72772283,-0.067906311,0.662261893,-1.057424107,-1.128503151,-1.227001242,0.446406514,-1.053585959
SKAP2,3.949748482,2.242683255,1.341706804,0.482828131,0.931063773,1.71427641,1.221924709,1.987769874,1.18055978,0.164114274,1.14719505,2.156775962,1.76648761,-1.32368508,3.1290732,2.467398304,3.46217063,3.510815037,3.467028592,3.387023725,-0.365521138,2.332472474
SLC25A5,1.602945718,1.566857955,0.390616404,1.587624321,1.946773856,2.271130426,2.162024003,1.276184946,1.489266044,1.081652114,1.444176788,1.948458726,2.668470635,0.51063689,1.43838046,3.177163814,2.870661042,2.47279543,3.306288583,2.488841061,1.400013608,1.994777063
MCUB,3.101751575,3.299627051,2.414463146,2.573774342,3.507223958,3.348308482,3.543852804,4.457421848,3.968989067,2.159654626,3.17778337,4.656420893,4.273984695,3.528653033,3.986522688,5.187140012,3.689620008,4.186458843,4.648736046,3.884922936,2.81151075,3.351168567
HOXA11,-2.631109621,-6.346031381,-1.641805073,-5.706996428,-6.16696831,-3.553950665,-2.578543828,-3.784019688,-2.450696373,-2.47529601,-1.174733045,-1.930686879,-2.384226788,-4.72967744,-3.213149657,-2.265207751,-2.431714255,-3.804658036,-2.157072303,-2.12970404,-3.050019312,-6.097980078
POLR2J,2.162124193,2.645490465,0.626683763,1.235518077,2.795927695,2.871023088,2.577960658,2.969652913,2.466610839,1.291869821,1.833828968,2.401509551,2.854632845,2.217521144,3.279771706,4.464119982,2.27298749,2.56041455,3.994299473,2.995990181,2.404720611,3.069438068
DHX33,-2.920616238,-6.346031381,-2.779308597,-3.385068333,-2.997043309,-4.447035461,-2.23750691,-2.199057188,-1.844975312,-4.590773228,-1.479587627,-3.51564938,-2.252982254,-3.881680533,-1.505330409,-1.568599895,0.277236963,-1.326610739,-2.40861107,-3.845911074,-1.465056812,-3.290625156
MEOX1,4.911570537,4.739441078,2.445657768,3.981253881,4.975776966,4.495897885,4.970406486,4.902799139,5.293406209,4.594928164,4.241913707,4.888275646,4.663805909,5.267219686,5.755133134,6.153081085,5.252090149,5.690911506,5.726792852,5.66386393,4.995155275,5.487451974
THSD7A,-0.598688143,-0.368751458,-2.29388177,-2.247564809,-0.809416306,-1.323653045,-0.602791374,0.051169442,-0.824511209,-1.783418306,-0.357597102,-0.65057896,0.342396862,-1.029237722,-0.154255968,1.47300101,-0.577565122,-0.236973527,-0.231072884,-0.145471356,0.618359197,-0.120700154
LIG3,0.538815381,1.86828774,1.238613311,1.452874909,0.992903026,2.430358238,2.769594146,2.21802814,2.050881233,1.023936616,1.278439583,2.090623627,3.029199662,2.011789547,2.478012247,3.451404781,1.804483966,3.311314527,2.341178565,2.675408931,1.930528325,2.324084688
RPAP3,-0.805139021,-1.953713958,0.108216674,-1.459068914,-1.919040797,-1.526469928,-1.441040304,-2.719889351,-1.764804963,-1.531879539,0.622774091,0.016845701,-2.689081369,-7.051605535,-1.565451401,-0.436688219,-0.640300877,-2.219695535,-2.713465651,-1.038556152,0.742538608,-0.316620364
ACSM3,0.448617572,1.778089931,0.45335216,-0.280731673,1.127652438,1.84100664,1.302468136,1.220073066,1.947582608,1.612166831,0.315592581,1.411705318,1.447457464,0.046426548,1.490984544,2.98925076,2.167054045,1.907623295,1.543367415,1.470855316,1.50894798,1.250748076
REXO5,5.419728431,5.680146216,3.878902886,3.977752193,5.342311858,4.759978859,4.83141276,4.835700099,5.572877203,4.922954368,4.566091744,5.794963402,5.167069491,4.865393514,6.06499001,6.51037415,5.896097455,5.134921178,6.887868188,5.478912385,4.840462124,4.829057091
CIAPIN1,7.948292036,7.387725441,6.215610492,6.152926545,7.062601588,7.3314524,6.767674392,7.640576081,7.848163126,6.973217436,6.803364501,7.47374512,7.979542951,7.484216582,8.401161428,9.126165481,8.096439278,7.070871927,9.040562146,7.95747051,7.668513564,6.980337544
SPPL2B,-3.768613145,-1.591143879,-1.641805073,-1.619533587,-2.997043309,-2.730828427,-2.397971582,-3.784019688,-2.219370827,-3.853807634,-1.043488512,-1.193721285,-2.252982254,-2.964142693,-1.142760329,-1.913735381,-0.922700608,-0.939587616,-2.894037897,-5.068303496,-1.769911393,-2.638548459
FAM214B,-0.113261316,-0.117212691,0.390616404,-0.497543062,-0.058443854,-1.421500369,-2.23750691,-1.515530852,-1.929864209,-0.447815274,-0.281648249,-0.76841545,-3.076104492,-4.72967744,-2.165843942,-2.078794627,-1.274172978,-0.462265839,-0.534141952,-0.722528659,0.409412306,-0.671715323
COPZ2,-0.024452049,2.294213555,-0.243255697,0.315371385,-3.845040216,0.040230366,0.694474667,-1.515530852,0.205650761,0.299997702,-0.357597102,-0.831151206,-1.284691114,-4.72967744,-0.405794735,-0.067906311,1.827847959,-1.254460954,-0.20101565,0.004945487,-0.302785383,0.311410858
PRKAR2B,0.986274358,0.368214137,1.585263835,0.559790113,0.34082633,-3.347499787,-0.602791374,-2.289254997,-0.128768278,0.669754322,1.932795419,0.522485749,-1.048623756,-2.528043579,-2.72772283,-1.057099556,-0.023629517,0.527538394,-0.534141952,-0.770622947,1.012990485,0.670204247
MSL3,-3.283186317,-3.17610638,-1.194346096,-1.063140238,-3.845040216,-4.084465381,-2.784994705,-3.784019688,-2.886795488,-2.71630411,-0.357597102,-0.831151206,-3.606619209,-3.881680533,-3.950115251,-3.953263745,-1.739836551,-3.15258134,-2.894037897,-2.565803155,-0.647920869,-0.671715323
CREBBP,-1.335653737,-0.564671668,-0.457380502,-1.063140238,-0.881566092,-2.209996264,-0.554697086,-0.16663571,-1.359548485,-0.89033351,-0.075197372,-0.214479845,-0.943654196,-1.842152169,-3.950115251,-2.265207751,-0.35079426,-3.15258134,0.117934745,-0.980840654,0.025268815,0.091844481
TSPOAP1,3.458280669,4.396278055,2.823575812,2.904028369,4.131094257,3.383140169,3.410897981,3.881316229,3.811194139,3.121180478,3.620301605,3.981917368,4.283476144,3.156628824,3.540847017,5.032578192,4.664696822,4.09448306,4.372123965,4.757715271,3.60819217,3.375725672
MPO,-0.732989235,-1.702175191,0.256315313,-0.577713411,-1.212772,-7.254390383,-2.397971582,-7.243451307,-2.886795488,-1.783418306,0.541473989,0.016845701,-6.776544211,-7.051605535,-7.120040253,-7.123188746,-2.962228972,-3.442087957,-2.277366537,-2.952826278,0.712481374,-0.483270234
PON1,-1.04614712,-2.25856854,-0.243255697,-1.314679005,-1.212772,-0.512923397,-1.841578234,-0.673595699,-1.141368315,-2.47529601,-0.812162966,-0.65057896,0.06894584,0.046426548,-1.011515796,1.372666281,-1.739836551,-0.830653245,-0.293133852,-0.980840654,0.164993579,0.344963418
GCFC2,4.008806571,3.061236383,2.476192136,2.13220736,2.933694029,3.537586438,2.934525754,3.334921384,3.796405564,3.594102115,2.944702186,3.576352621,4.898089451,2.615506007,3.607029305,4.642097352,4.584665488,3.646553076,4.876350699,4.779797769,3.583494933,3.611103735
WDR54,0.213239509,-0.156206822,-0.708919269,-0.849015433,-0.385608597,-3.553950665,-0.602791374,-4.921523212,-0.435099518,-2.088272887,-0.612854158,0.547360418,-3.606619209,-2.296718033,-0.131355566,0.825178485,1.106250766,-0.681275621,1.111960844,-0.349485248,-0.302785383,-0.968697061
CROT,-1.566979283,-2.439140785,-2.29388177,-2.00655671,-1.919040797,-5.669427882,-2.784994705,-7.243451307,-2.886795488,-2.47529601,-1.043488512,-2.863572683,-3.606619209,-7.051605535,-4.312685331,-1.837786527,-0.299263959,-3.442087957,-1.756534373,-2.260948573,-3.535446139,-1.574418122
ABCB4,4.347210833,4.010420589,2.265085522,3.284525418,4.701082543,5.092954157,4.565094482,4.660054004,5.646190623,3.671321617,2.713720302,5.02738244,4.880327515,4.7942765,6.182741448,7.407034682,3.961923712,6.010267697,5.110837978,5.735558542,3.258969727,5.593327252
KMT2E,3.020594431,3.491596552,1.817626545,2.5644666,3.37025009,3.452105635,3.361622923,3.147792283,3.412681916,2.359539648,2.627706387,3.399803229,3.521518357,2.409873913,3.495589384,4.943236854,3.435802102,4.300127898,4.330285412,3.871275719,3.162216494,3.540455836
RHBDD2,0.05920588,2.438603464,-0.34634919,-1.063140238,-0.552258466,-0.459974517,1.302468136,1.770569163,2.078309722,-1.317754733,0.047659376,1.025723852,-0.062298693,-0.156787771,-0.249675533,2.659809463,-1.274172978,1.923262418,0.864407425,1.751875467,0.208714956,0.820883159
SOX8,-1.566979283,-1.488050386,-1.013773851,-1.800105832,-1.919040797,-1.371747334,-1.627453428,-0.976664766,-0.745439638,-1.783418306,-2.397125466,-0.896739547,-2.132688021,-2.803678021,-1.762488248,1.100812928,-1.177957663,-0.681275621,-0.261769682,-1.795285001,-1.333812278,0.20580067
IBTK,-1.698223817,-1.301637262,-2.779308597,-4.122033927,-1.919040797,-2.499502881,-3.026002805,-2.488563805,-2.886795488,-3.853807634,-1.86661075,-2.863572683,-2.528616697,-7.051605535,-3.032577412,-1.192451409,-2.431714255,-1.857125456,-2.713465651,-2.952826278,-3.535446139,-3.776051983
ZNF195,-2.390101521,-1.591143879,-2.29388177,-4.122033927,-0.144600497,-3.006462869,-1.961872467,-2.289254997,-1.844975312,-1.783418306,-1.319122954,-2.863572683,-3.969189288,-7.051605535,-1.447614911,-0.38172176,-2.044691132,-0.545923768,-1.671645476,-2.565803155,-1.465056812,-1.574418122
MYCBP2,-0.362620785,-0.513141367,0.513473152,-0.092286584,-0.552258466,-4.447035461,-2.397971582,-7.243451307,-1.482405233,-1.531879539,0.661768223,0.246851306,-6.776544211,-4.72967744,-7.120040253,-1.395268292,0.134632567,-4.290084863,-2.40861107,-0.925345542,0.91081009,0.168806463
FBXL3,6.643109677,6.717195151,4.883181767,5.40999725,6.069344917,5.876019299,5.590378954,6.34491198,6.453970969,6.031583698,5.918275721,6.045774958,6.755202751,5.892923525,6.966842344,7.908038601,7.71264985,5.924962707,7.357444514,7.094402523,6.94776503,5.507962362
ITGAL,4.449586799,4.682565396,2.775280255,2.983001544,3.756359175,4.220836395,4.238226521,3.845999174,4.416448044,3.380770326,2.904624746,4.545046552,4.688511957,3.228005046,5.132920784,5.443103184,5.459835794,4.1150566,5.74524251,4.479233733,3.834369285,4.045403136
PDK2,1.109131105,1.246425656,1.640230294,0.979504099,0.798815974,1.47012347,-0.652544409,0.303443153,0.587984095,0.482475754,2.233849432,1.682620247,-0.035077224,-1.218715521,0.545295664,-0.252824027,0.833630311,3.326096368,-1.186218649,1.235477253,1.890818615,1.663571155
ITGA3,-6.090541239,-6.346031381,-3.516274191,-4.122033927,-6.16696831,-7.254390383,-4.900471923,-7.243451307,-6.974258329,-6.175735729,-3.982087967,-4.738041801,-4.454616116,-7.051605535,-7.120040253,-1.145908823,-6.132153973,-5.027050457,-6.800928493,-6.653265996,-4.272411734,-6.097980078
ZFX,4.102984121,3.988241904,2.85876524,2.646150398,3.886957571,3.185440501,3.461471851,4.045991269,3.910675319,2.647631511,3.512434316,3.641336566,4.446854204,3.031873793,4.136758133,4.748331516,5.320602056,3.355213301,4.648736046,4.246846067,4.138392917,3.439238323
LAMP2,-6.090541239,-1.822469425,-1.93131169,-3.385068333,-6.16696831,-7.254390383,-4.163506329,-2.033997941,-3.067367733,-3.005810727,-2.107618849,-2.622564584,-4.454616116,-7.051605535,-3.419600535,-4.801260651,-0.517444129,-6.612012958,-3.100488775,-4.331337901,-2.156934516,-2.638548459
ITGA2B,-1.335653737,-0.673606039,-1.194346096,-0.849015433,-2.466528592,-0.094519046,-1.059169669,-1.958049088,-1.359548485,-0.293092679,-0.209498463,-0.896739547,0.480843632,-2.007211415,-0.043224656,-0.71379781,1.351661804,-0.503488501,-2.713465651,-0.587176806,0.409412306,-2.39754036
ASB4,0.677643085,0.911356462,0.876043232,0.559790113,0.432944532,0.094337771,1.136617396,-1.410561293,-0.404402721,0.233655208,1.00280514,0.688222953,-0.118332728,-0.642214599,0.331170859,0.78970059,1.756589275,1.984176798,-1.443376488,0.641354753,1.240657849,0.531376542
GDE1,4.670178708,5.599778204,4.129984489,3.524224753,3.183970871,3.849553047,4.965261348,2.655905616,3.504511291,3.610533899,3.390051574,4.350304774,4.509435895,3.856036269,5.170266643,5.700775512,5.836152821,5.139949455,2.102953353,5.111190967,3.248534274,4.107813171
REX1BD,-0.961258223,-1.216748364,-0.457380502,-3.385068333,-2.707536692,-2.044937017,-2.578543828,-2.995523793,-2.020062018,-1.131341609,-0.812162966,-1.465023307,-2.869653615,-4.244250613,-3.950115251,-1.01466429,-0.922700608,-1.402559593,-2.894037897,-1.227001242,-1.465056812,-0.888526712
CRLF1,-1.136344929,-1.953713958,-1.194346096,-1.800105832,-1.919040797,-2.396409388,-1.627453428,-3.543011589,-2.581940906,-0.503310387,-2.759695546,-1.679148112,-2.252982254,-4.72967744,-4.798112158,-1.993905729,0.810360532,-1.567618839,-2.894037897,-1.898378494,-0.903177924,-2.638548459
OSBPL7,2.68094823,4.311287069,2.686665867,2.86665076,3.500143232,4.331980312,4.023350739,4.056329096,3.431946677,2.168560179,2.627706387,3.672762849,4.221340917,3.369407321,4.777427089,5.231336143,4.429133972,4.111647986,4.696424401,4.765113723,2.873944797,3.597248214
TMEM98,0.284498192,2.279677462,1.437922119,3.576091925,0.888314125,2.97322556,2.460009413,1.938943046,1.396429078,3.34193366,1.227365398,1.313620319,3.493751116,-0.310138548,3.370810624,-0.025156663,4.008675797,1.776004327,1.38394685,2.447396343,3.156646236,0.935442924
YBX2,-0.362620785,-0.988479376,-0.056842573,-0.215143332,-0.809416306,-0.5961789,-0.813009081,0.890975013,-0.564867393,0.01408883,0.972108343,0.306352318,-0.472763462,-1.436895691,0.379805634,0.893619541,-0.201416636,1.276730291,-0.968038478,-0.675986073,0.446406514,0.010544379
KRT33A,-1.136344929,-2.098103868,-0.34634919,-0.280731673,-2.260077715,-1.896838378,-1.127882419,-4.921523212,-0.865733872,-1.131341609,0.265839546,-0.65057896,-6.776544211,-7.051605535,-3.950115251,-3.035725905,-2.225263378,-6.612012958,-1.515526274,-1.367863777,0.371444456,-1.053585959
MAP3K14,-0.20789819,0.596483124,1.909990563,0.86285918,0.06185038,0.213215167,-0.256615733,0.032673098,0.525587558,-0.342845714,1.964330993,1.192695536,-1.221955359,-3.881680533,-1.447614911,-0.856402206,-0.023629517,-2.364085445,-1.374663738,-0.145471356,1.322534856,0.241869925
ABCC8,-0.362620785,-0.237506924,1.088587867,-0.577713411,-0.236230973,-4.932462288,-2.23750691,-4.921523212,-2.581940906,-1.652173773,0.772799535,-0.019223554,-4.454616116,-7.051605535,-4.798112158,-3.216298151,-1.739836551,-3.442087957,-2.894037897,-1.699069686,0.856871283,0.051767042
CACNG3,3.155011467,3.931256019,1.308154244,2.526623249,3.976414904,4.128773878,2.963714222,3.886475627,3.103892479,2.246329038,2.627706387,2.645662491,3.50074319,3.26014278,3.994352802,4.034789704,4.023929103,2.971069809,4.299076732,3.731517754,2.547767229,2.799865378
TMEM132A,-1.698223817,-3.17610638,-1.013773851,-2.00655671,-1.037685294,-3.006462869,-2.784994705,-2.199057188,-1.844975312,-6.175735729,-3.245122373,-2.863572683,-3.969189288,-2.407749345,-1.834638034,-1.450763404,-2.962228972,-4.290084863,-1.671645476,-1.795285001,0.164993579,-1.850052564
AP2B1,2.023200927,4.454059607,1.49867615,3.214844509,3.005459198,4.350626065,2.793015035,3.452646864,4.164653389,3.762373598,3.029139288,3.182807252,5.27023876,6.345667997,5.050197799,6.455537735,4.621898394,5.029587258,3.258415968,4.08904344,2.376245442,2.992132342
TAC1,-1.842613726,-1.301637262,-2.779308597,-2.00655671,-1.412080808,-2.610534193,-1.961872467,-2.488563805,-2.116277334,-2.088272887,-1.660159872,-1.278610183,-3.317112592,-3.144714939,-4.312685331,-3.035725905,-2.044691132,-1.057424107,-2.04604099,-3.193834378,-1.213518045,-2.191089482
ZNF263,5.135268701,5.095356648,3.722130548,4.095519937,4.907842151,4.626341052,4.4911297,4.442611443,4.733532167,4.837586945,4.3972904,4.763795384,5.916289204,6.017340645,5.68308182,5.618910123,6.162179586,5.040383903,5.703145622,5.824239321,5.3318326,5.595071217
CX3CL1,3.639079504,4.136776576,2.904387857,2.689608353,3.765246442,3.535958114,3.181677119,4.028595217,4.012294821,3.289830676,3.630166225,3.858147955,4.066591701,3.343928601,4.22147857,4.841513111,5.01568692,3.549118925,5.520717798,4.418866608,4.293642305,3.628238081
SPATA20,0.875243045,2.97364074,1.273802739,1.659325786,2.818873627,2.409167721,0.845482455,3.349939816,1.370037579,0.790048556,1.709073937,1.356475798,-0.586719652,0.067335538,-0.249675533,1.24749866,0.437701635,0.664111447,0.29710359,2.015618988,1.560478281,2.513044719
CACNA1G,-2.390101521,-2.886599762,-2.779308597,-2.537071426,-3.845040216,-7.254390383,-3.315509422,-7.243451307,-3.804333327,-4.590773228,-1.660159872,-2.863572683,-6.776544211,-7.051605535,-7.120040253,-7.123188746,-2.962228972,-4.290084863,-5.215965992,-4.331337901,-0.999393239,-2.928055076
TNFRSF12A,3.316726525,3.646906955,1.954045744,3.617184119,3.876058973,3.967800756,3.960614983,3.815216943,4.051573339,3.353694826,3.230611058,3.923736297,4.834019293,4.453709821,4.25554226,5.163080216,3.779238014,4.319463276,4.490817788,4.505974654,3.97076225,3.536830972
DLX6,-0.309181526,-1.488050386,0.108216674,-0.577713411,-0.675115214,-4.084465381,-2.397971582,-7.243451307,-2.330402139,-3.853807634,0.622774091,-0.345724378,-6.776544211,-7.051605535,-5.535077752,-7.123188746,-0.846751755,-4.290084863,-2.713465651,-1.443812631,0.771982386,-0.888526712
MAP3K9,1.049010113,0.948589368,-0.147040382,-0.849015433,1.849839977,1.517099087,0.384930296,0.436028793,0.225414016,0.091050812,0.73673028,2.047683105,2.168899626,1.062136631,-0.154255968,1.071568108,3.025192962,0.96541587,0.633699735,2.008512102,1.904176998,-0.425554736
RALA,4.905932249,5.434098239,3.502389653,4.50123793,5.545128741,5.235708372,5.00591765,5.06004407,5.472566512,4.630813893,4.379855807,5.235894679,5.568029112,5.198396733,5.561417797,6.293740697,5.978003045,4.55226548,6.845742713,5.853785306,5.648933347,5.249087579
BAIAP2L1,-3.283186317,-4.024103286,-1.400796974,-2.899641506,-2.707536692,-2.499502881,-4.900471923,-7.243451307,-6.974258329,-4.590773228,-3.245122373,-2.622564584,-5.19158171,-2.659288112,-7.120040253,-2.479332557,-3.810225879,-2.705122363,-3.631003491,-3.483340995,-4.272411734,-6.097980078
KDM7A,-4.505578739,-4.76106888,-3.516274191,-4.122033927,-1.919040797,-2.300194073,-3.026002805,-3.336560711,-3.273818611,-6.175735729,-1.86661075,-2.416113706,-4.454616116,-1.379180193,-3.213149657,-2.168992436,-1.739836551,-2.364085445,-4.479000398,-1.898378494,-5.857374234,-3.290625156
ETV1,4.221207076,4.449196585,3.216175922,3.837968005,4.955212591,4.294912986,4.102343093,5.422994632,5.17644096,4.012853117,3.585234374,4.526400799,5.30127291,5.446495709,5.978156362,6.199161951,4.47794809,4.89230949,5.427589605,5.275622443,4.365420669,4.424601453
